Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
numeric_unit_validate,Success,3,0,2018-05-16 21:20:55 +0530,2018-05-18 17:42:49 +0530,0:00:00
egg_plant_day2,Failure,5,1,2018-04-26 09:53:25 +0530,2018-04-26 10:07:53 +0530,0:00:04
Read_dio,Failure,32,12,2018-05-03 19:47:18 +0530,2018-05-17 19:43:51 +0530,0:01:15
rec_and_play,Failure,1,1,2018-04-25 12:14:15 +0530,2018-04-25 12:14:15 +0530,0:00:00
assited,Failure,3,3,2018-04-25 12:35:13 +0530,2018-04-25 12:37:57 +0530,0:00:00
dio_reader,Success,39,6,2018-05-17 20:07:21 +0530,2018-05-18 17:30:11 +0530,0:00:01
egg_plant_day1,Failure,38,23,2018-04-25 10:12:17 +0530,2018-04-25 15:06:16 +0530,0:00:15
launch_browser,Failure,1,1,2018-05-14 19:29:37 +0530,2018-05-14 19:29:37 +0530,0:00:00
Read_Excel,Failure,2,1,2018-04-27 16:05:17 +0530,2018-05-07 17:42:47 +0530,0:00:00
script_beg_1,Failure,28,14,2018-04-25 13:53:34 +0530,2018-04-26 09:49:20 +0530,0:00:49
functions,Success,8,0,2018-04-25 15:58:25 +0530,2018-04-25 17:20:11 +0530,0:00:00
conditions and arrays,Success,20,5,2018-04-25 15:11:10 +0530,2018-04-25 15:53:47 +0530,0:00:00
resource_interaction,Success,1,0,2018-04-26 15:04:09 +0530,2018-04-26 15:04:09 +0530,0:00:00
